Tool	precision_avg_bp	recall_avg_bp	Dataset
McDevol	0.866329261529136	0.54517495824319	Marine
VAMB	0.951169358346448	0.438591345354858	Marine
COMEBin	0.908969325614745	0.64931930441313	Marine
GenomeFace	0.943210958768017	0.508634527687888	Marine
McDevol	0.568761204319604	0.851626246718462	Strain-madness
VAMB	0.369876115848921	0.750845627222519	Strain-madness
COMEBin	0.481931968544116	0.505502234066381	Strain-madness
GenomeFace	0.779485485421317	0.24164707532002	Strain-madness
McDevol	0.76197363836013	0.270591784896656	Plant-associated
VAMB	0.939744142724688	0.139704632050343	Plant-associated
COMEBin	0.955232139427538	0.206422002729509	Plant-associated
GenomeFace	0.965377371161724	0.168205002991408	Plant-associated
